image,skin_color,genre
041697.jpg,Darkest,1
191461.jpg,Darkest,1
042611.jpg,Darkest,0
183475.jpg,Darkest,0
070932.jpg,Darkest,0
159542.jpg,Darkest,1
021604.jpg,Darkest,1
143095.jpg,Darkest,0
096125.jpg,Darkest,0
152429.jpg,Darkest,1
001105.jpg,Darkest,1
128232.jpg,Darkest,1
076428.jpg,Darkest,1
071421.jpg,Darkest,1
003262.jpg,Darkest,1
159839.jpg,Darkest,0
174772.jpg,Darkest,1
078389.jpg,Darkest,1
188734.jpg,Darkest,0
140992.jpg,Darkest,0
076968.jpg,Darkest,1
094279.jpg,Darkest,0
133818.jpg,Darkest,1
026781.jpg,Darkest,1
149408.jpg,Darkest,1
144887.jpg,Darkest,0
038757.jpg,Darkest,1
182432.jpg,Darkest,0
172272.jpg,Darkest,0
197215.jpg,Darkest,1
116723.jpg,Darkest,0
023942.jpg,Darkest,0
110393.jpg,Darkest,0
057437.jpg,Darkest,1
138769.jpg,Darkest,1
137857.jpg,Darkest,1
148714.jpg,Darkest,0
062300.jpg,Darkest,0
006679.jpg,Darkest,0
157436.jpg,Darkest,0
053678.jpg,Darkest,0
044462.jpg,Darkest,1
094092.jpg,Darkest,1
135648.jpg,Darkest,1
045323.jpg,Darkest,1
128859.jpg,Darkest,1
165781.jpg,Darkest,1
023930.jpg,Darkest,1
141409.jpg,Darkest,1
018434.jpg,Darkest,1
168845.jpg,Darkest,0
125763.jpg,Darkest,0
052528.jpg,Darkest,1
069623.jpg,Darkest,0
163495.jpg,Darkest,1
128655.jpg,Darkest,1
136292.jpg,Darkest,0
053806.jpg,Darkest,1
100286.jpg,Darkest,1
030999.jpg,Darkest,0
088390.jpg,Darkest,1
131498.jpg,Darkest,1
157090.jpg,Darkest,0
037214.jpg,Darkest,1
033066.jpg,Darkest,0
129189.jpg,Darkest,1
103012.jpg,Darkest,0
008153.jpg,Darkest,0
065354.jpg,Darkest,1
171136.jpg,Darkest,1
118157.jpg,Darkest,0
079595.jpg,Darkest,0
